area	company	pay
서초구	2n2b	20000
영등포구	모던 한식 에덴	7500
중구	신세계 백화점 본점	7200
영등포구	생활맥주당산점	7500
서초구	서울씨아이에스㈜서초지사 레드스톤	7000
강남구	JS당구클럽	6500
마포구	피자나라치킨공주	7000
강남구	아비꼬카레	7000
마포구	미그릴	7000
성동구	빈 플래토 Bean Plateau	6030
서초구	텟판야키 키라메쿠	7000
중구	금돼지식당	8000
광진구	밤낮	7000
강남구	쥬비스	8000
중구	두산 두타면세점	11000
강남구	봉구비어 역삼역점	8000
동작구	ST Unitas	8000
마포구	맘스터치 홍대점	7000
강남구	㈜마케팅플래닛	6200
강남구	봉구비어 역삼역점	8000
동작구	ST Unitas	8000
마포구	맘스터치 홍대점	7000
강남구	㈜마케팅플래닛	6200
강남구	랍스터쉑	7000
도봉구	㈜희망무역	8000
강남구	가이드라인	6500
광진구	소문난 골목집	7500
마포구	상상블럭 홈플러스 월드컵점	6100
마포구	합정, 홍대 스페인야시장	7000
송파구	라비앙호텔	7500
광진구	힐링톡톡 건대점	6200
송파구	리딩스타어학원	8000
종로구	어담 일식 종로점	6800
강남구	프로푸모	6500
마포구	이닌스페이스	30000
영등포구	폴리파크 양평점	6200
관악구	굿마트관악점	6030
동작구	싱싱오징어바다	8000
용산구	Layers / 이태원역	9000
강남구	㈜셀러비	6500
마포구	㈜엘버하이테크	6500
송파구	태양이네전구에이드(서울롯데월드)	7000
용산구	더클럽바	25000
강남구	중대부고 급식실	8000
금천구	㈜마더텅	14000
용산구	Thursday Party	7000
양천구	페르몬	15000
강남구	커피스미스에프씨㈜본사점	7500
마포구	뚜띠쿠치나공덕점	6030
영등포구	㈜토바시스템	8000
마포구	갈비살음메	7000
송파구	㈜삐삐롯드	6500
구로구	아툰즈	7000
관악구	대통삼	6500
강서구	대성석유㈜ 관문주유소	6030
성북구	모모스테이크 성신여대점	6100
송파구	㈜삐삐롯드	6500
구로구	아툰즈	7000
관악구	대통삼	6500
강서구	대성석유㈜ 관문주유소	6030
성북구	모모스테이크 성신여대점	6100
금천구	서운에이치에스㈜	6030
용산구	Bitwin Brain	7500
강남구	강남옛날돈까스	7000
강서구	감자탕콩작소	7000
중구	사이드쇼	7000
용산구	그랑씨엘 이태원점	6500
동작구	주식회사 서우유통에너지	6500
마포구	againuse	6100
강남구	오피스테이션	7000
서초구	나사산업안전㈜	8000
광진구	아크랜드서비스코리아 주식회사	7300
서초구	더 모스트 웨딩홀	8500
마포구	갈비살 음메	7000
종로구	만쥬하나	6500
관악구	루나 (luna) bar	20000
영등포구	마시찜 타임스퀘어점	6500
동작구	몽키타운피시방 (노량진)	6200
강동구	호미다반	7500
강남구	신세계백화점/강남점	8000
마포구	cafe  jass(카페자스) 합정점	6030
강남구	아크랜드서비스코리아 주식회사	7300
종로구	아크랜드서비스코리아 주식회사	7300
강북구	흥국생명 강북지점	8000
마포구	아크랜드서비스코리아 주식회사	7300
도봉구	계륵장군(방학점)	6030
마포구	팬스테이크키친 홍대점	7000
서초구	주식회사 올파인	7000
광진구	우마이도	6200
강서구	㈜파라다이스세가사미	11000
서초구	마더쥬스교대점	6500
마포구	bar A	30000
관악구	주식회사유진리더스	10000
강남구	한성엠에스	9000
마포구	브이bar	25000
중구	s and me	7000
관악구	쌈남쌈녀 퓨전한식 카페	7000
서초구	플로리아 카페 (강남 신논현역)	6500
양천구	엠브이오목교점	13000
중구	이디야커피 명동역점	6030
양천구	천성공조	7500
영등포구	주식회사유진리더스	10000
마포구	웅진북클럽	9500
은평구	웅진북클럽	9500
금천구	엔커피	6500
강남구	메종드라카테고리	7000
영등포구	애니맨 anyman	10000
강남구	주식회사유진리더스	10000
광진구	㈜피엔비	6100
동작구	주식회사유진리더스	10000
강남구	주얼리	15000
서초구	㈜디지털포토	6500
종로구	구현시스템	6600
서대문구	김피라 신촌점	7000
관악구	윈즈시스템(급여가불/문자접수가)	7000
강동구	신세계푸드	6300
서대문구	꽁술	6500
강남구	한성엠에스	8000
강북구	신세계푸드/베키아에누보 본점(회현역)	6580
동대문구	신세계푸드/베키아에누보 본점(회현역)	6580
은평구	더통큰구이 연신내점	6500
강남구	포메인 청담역점	6500
강남구	에스	20000
강북구	jbar	30000
성북구	모던바NTL낫투레이트	15000
중랑구	중랑구 모던 바 FOX 입니다	15000
마포구	인더라인25 편의점	6300
서초구	펀비어킹 교대점	7500
강동구	스토리	25000
중랑구	카페베네 먹골역점	6500
양천구	Bar 올리브	25000
마포구	Bar 올리브	25000
서대문구	Bar 올리브	25000
서초구	㈜토스 / 세화여자고등학교 급식실	7700
마포구	웅진씽크빅(대학생,휴학생/대규모 채용)	9500
서초구	㈜포에버케이블정보통신	7000
송파구	빙고	15000
중구	이디야 광희동점(동대문역사문화공원 역)	7300
송파구	화난치킨	7000
서초구	㈜포에버케이블정보통신	7000
송파구	빙고	15000
중구	이디야 광희동점(동대문역사문화공원 역)	7300
송파구	화난치킨	7000
은평구	blossom(블라썸)	25000
은평구	커피가지고	6500
강남구	GS25역삼파크	6300
강남구	포메인 수서점	7600
마포구	blossom(블라썸)	25000
종로구	핸더	7200
서초구	김뿌라 초밥전문점	8000
마포구	유림피엠씨	6500
은평구	훌랄라치킨카페	6200
영등포구	카페 자 블라썸	6800
강남구	떼루와 선릉역점	7000
강남구	니뽕내뽕 압구정점	7000
종로구	중식카페 홍지문	6500
용산구	세븐일레븐 용산해방촌점	6500
강남구	카페 굴리엘모 역삼역점	6500
강남구	바른치킨/강남매봉역점	7500
강남구	안녕,숯불 햄버거,요리 전문점	7000
강남구	㈜마마스푸드 가로수길점	7240
종로구	㈜마마스푸드 광화문점	7240
마포구	잭팟잉글리쉬	20000
영등포구	㈜엑스퍼서치	6500
종로구	㈜조은시스템	6030
양천구	토프레소 목동점	6030
중구	펑키플래닛㈜	8000
서초구	Park Cafe	6300
마포구	내가찜한닭 홍대점	6700
광진구	T라운드bar	30000
마포구	마오	7000
동작구	㈜조은시스템	6030
용산구	㈜조은시스템	6030
마포구	㈜조은시스템	6030
중구	㈜조은시스템	6030
강남구	우리은행	7100
중랑구	우리은행	7100
강동구	Dobleu	30000
강북구	YOU (유)	18000
마포구	㈜홈앤쇼핑	8500
마포구	애탠	7000
강남구	Violet	32000
강남구	쉼터편의점	6200
용산구	㈜에이원아이엔티	8000
중구	태광실업	6030
강남구	빽다방 선릉중앙점	7240
강남구	클라임독서실	6030
송파구	주식회사이에스푸드	7230
동대문구	닌자초밥 전농점	6500
강남구	미스사케	20000
노원구	카페마담	6200
성북구	Murmur de gusto	6500
강남구	포시엔 학동역점	7000
성북구	Murmur de gusto	6500
성북구	㈜다홍앤지니프	6500
